Unnamed: 0,German,English
541,Spaß,fun
542,hell,bright
543,Gases,gas
544,Wetter,weather
545,Monat,month
546,Million,million
547,tragen,bear
548,Finish,finish
549,glücklich,happy
550,hoffen,hope
551,blume,flower
552,kleiden,clothe
553,seltsam,strange
554,Vorbei,gone
555,Handel,trade
556,Melodie,melody
557,Reise,trip
558,Büro,office
559,empfangen,receive
560,Reihe,row
561,Mund,mouth
562,genau,exact
563,Zeichen,symbol
564,sterben,die
565,am wenigsten,least
566,Ärger,trouble
567,Schrei,shout
568,außer,except
569,schrieb,wrote
570,Samen,seed
571,Ton,tone
572,beitreten,join
573,vorschlagen,suggest
574,sauber,clean
575,Pause,break
576,Dame,lady
577,Hof,yard
578,steigen,rise
579,schlecht,bad
580,Schlag,blow
581,Öl,oil
582,Blut,blood
583,berühren,touch
584,wuchs,grew
585,Cent,cent
586,mischen,mix
587,Draht,wire
588,Kosten,cost
589,braun,brown
590,tragen,wear
591,Garten,garden
592,gleich,equal
593,gesendet,sent
594,wählen,choose
595,fiel,fell
596,passen,fit
597,Messe,fair
598,Bank,bank
599,sammeln,collect
600,sparen,save
601,Kontrolle,control
602,dezimal,decimal
603,Ohr,ear
604,sonst,else
605,ganz,quite
606,pleite,broke
607,Fall,case
608,Mitte,middle
609,Sohn,son
610,See,lake
611,Moment,moment
612,Maßstab,scale
613,laut,loud
614,Frühling,spring
615,beobachten,observe
616,Kind,child
617,gerade,straight
618,Konsonant,consonant
619,Nation,nation
620,milch,milk
621,Geschwindigkeit,speed
622,Verfahren,method
623,Orgel,organ
624,zahlen,pay
625,Alter,age
626,Abschnitt,section
627,Kleid,dress
628,Wolke,cloud
629,Überraschung,surprise
630,ruhig,quiet
631,Stein,stone
632,winzig,tiny
633,Aufstieg,climb
634,kühlen,cool
635,Entwurf,design
636,arm,poor
637,Menge,lot
638,Versuch,experiment
639,Boden,bottom
640,Schlüssel,key
641,Eisen,iron
642,Einzel,single
643,Stick,stick
644,Wohnung,flat
645,zwanzig,twenty
646,Haut,skin
647,Lächeln,smile
648,Falte,crease
649,springen,jump
650,Kind,baby
651,acht,eight
652,Dorf,village
653,treffen,meet
654,Wurzel,root
655,kaufen,buy
656,erhöhen,raise
657,lösen,solve
658,Metall,metal
659,ob,whether
660,drücken,push
661,sieben,seven
662,Absatz,paragraph
663,dritte,third
664,wird,shall
665,Haar,hair
666,beschreiben,describe
667,Koch,cook
668,Boden,floor
669,entweder,either
670,Ergebnis,result
671,Hügel,hill
672,sicher,safe
673,Katze,cat
674,Jahrhundert,century
675,betrachten,consider
676,Typ,type
677,Gesetz,law
678,Bit,bit
679,Küste,coast
680,Ausdruck,phrase
681,still,silent
682,hoch,tall
683,Sand,sand
684,Boden,soil
685,Rolle,roll
686,Temperatur,temperature
687,Finger,finger
688,Industrie,industry
689,Wert,value
690,Kampf,fight
691,Lüge,lie
692,begeistern,excite
693,natürlich,natural
694,Blick,view
695,Sinn,sense
696,Hauptstadt,capital
697,wird nicht,won’t
698,Achtung,danger
699,Obst,fruit
700,reich,rich
701,dick,thick
702,Soldat,soldier
703,Prozess,process
704,Praxis,practice
705,trennen,separate
706,schwierig,difficult
707,Arzt,doctor
708,Bitte,please
709,schützen,protect
710,Ernte,crop
711,modernen,modern
712,Elementes,element
713,treffen,hit
714,Schüler,student
715,Ecke,corner
716,Versorgung,supply
717,deren,whose
718,lokalisieren,locate
719,Rings,ring
720,Charakter,character
721,insekt,insect
722,gefangen,caught
723,Zeit,period
724,zeigen,indicate
725,Funk,radio
726,Speiche,spoke
727,Atom,atom
728,Mensch,human
729,Geschichte,history
730,Wirkung,effect
731,elektrisch,electric
732,erwarten,expect
733,Knochen,bone
734,Schiene,rail
735,vorstellen,imagine
736,bieten,provide
737,zustimmen,agree
738,so,thus
739,sanft,gentle
740,Frau,woman
741,Kapitän,captain
742,erraten,guess
743,erforderlich,necessary
744,scharf,sharp
745,Flügel,wing
746,schaffen,create
747,Nachbar,neighbor
748,Wasch,wash
749,Fledermaus,bat
750,eher,rather
751,Menge,crowd
752,mais,corn
753,vergleichen,compare
754,Gedicht,poem
755,Glocke,bell
756,abhängen,depend
757,Fleisch,meat
758,einreiben,rub
759,Rohr,tube
760,berühmt,famous
761,Dollar,dollar
762,Strom,stream
763,Angst,fear
764,Blick,sight
765,dünn,thin
766,Dreieck,triangle
767,Erde,planet
768,Eile,hurry
769,Chef,chief
770,Kolonie,colony
771,Uhr,clock
772,Mine,mine
773,Krawatte,tie
774,eingeben,enter
775,Dur,major
776,frisch,fresh
777,Suche,search
778,senden,send
779,gelb,yellow
780,Pistole,gun
781,erlauben,allow
782,Druck,print
784,Stelle,spot
785,Anzug,suit
786,Strom,current
787,Aufzug,lift
788,stiegen,rose
789,ankommen,arrive
790,Spur,track
791,Elternteil,parent
792,Ufer,shore
793,Teilung,division
794,Blatt,sheet
795,Substanz,substance
796,begünstigen,favor
797,verbinden,connect
798,nach,post
799,verbringen,spend
800,Akkord,chord
801,Fett,fat
802,Original,original
803,Aktie,share
804,Station,station
805,Papa,dad
806,Brot,bread
807,aufladen,charge
808,richtig,proper
809,Leiste,bar
810,Angebot,offer
811,Segment,segment
812,Sklave,slave
813,ente,duck
814,Augenblick,instant
815,Markt,market
816,Grad,degree
817,besiedeln,populate
818,küken,chick
819,liebe,dear
821,antworten,reply
822,Getränk,drink
824,Unterstützung,support
825,Rede,speech
826,Natur,nature
827,Angebot,range
828,Dampf,steam
829,Bewegung,motion
830,Weg,path
831,Flüssigkeit,liquid
832,protokollieren,log
833,gemeint,meant
834,Quotient,quotient
835,Gebiss,teeth
836,Schale,shell
837,Hals,neck
838,Sauerstoff,oxygen
839,Zucker,sugar
840,Tod,death
841,ziemlich,pretty
842,Geschicklichkeit,skill
843,Frauen,women
844,Saison,season
845,Lösung,solution
846,Magnet,magnet
847,Silber,silver
848,danken,thank
849,Zweig,branch
850,Spiel,match
851,Suffix,suffix
852,insbesondere,especially
854,ängstlich,afraid
855,riesig,huge
856,Schwester,sister
857,Stahl,steel
858,diskutieren,discuss
859,vorwärts,forward
860,ähnlich,similar
861,führen,guide
862,Erfahrung,experience
863,Partitur,score
864,apfel,apple
865,gekauft,bought
866,geführt,led
867,Tonhöhe,pitch
868,Mantel,coat
869,Karte,card
870,Band,band
871,Seil,rope
872,Rutsch,slip
873,gewinnen,win
874,träumen,dream
875,Abend,evening
876,Zustand,condition
877,Futtermittel,feed
878,Werkzeug,tool
879,gesamt,total
880,Basis,basic
881,Geruch,smell
882,Tal,valley
883,noch,nor
884,doppelt,double
885,Sitz,seat
886,Block,block
887,Tabelle,chart
888,Hut,hat
889,verkaufen,sell
890,Erfolg,success
891,Firma,company
892,subtrahieren,subtract
893,Veranstaltung,event
894,besondere,particular
895,viel,deal
896,schwimmen,swim
897,Begriff,term
898,Gegenteil,opposite
899,Frau,wife
900,Schuh,shoe
901,Verbreitung,spread
902,arrangieren,arrange
903,erfinden,invent
904,Baumwolle,cotton
905,geboren,born
906,bestimmen,determine
907,neun,nine
908,Lastwagen,truck
909,Lärm,noise
910,Ebene,level
911,Chance,chance
912,sammeln,gather
914,Stretch,stretch
915,werfen,throw
916,Glanz,shine
917,Immobilien,property
918,Molekül,molecule
919,wählen,select
920,falsch,wrong
921,grau,gray
922,Wiederholung,repeat
923,erfordern,require
924,breit,broad
925,vorbereiten,prepare
926,Salz,salt
927,Nase,nose
928,mehreren,plural
929,Zorn,anger
930,Anspruch,claim
931,Kontinent,continent
